Time,Temp,Humi,Noin,Wd,Ws,Ap,Rainfall,Noise,Ul,O2
2023/01/01 00:00:00.000,1.2,90,944,0,0,871.7,0,80.6,0.06,20.9
2023/01/01 01:00:00.000,1.2,90,1118,286,0.2,871.3,0,42.3,0.05,20.9
2023/01/01 02:00:00.000,1.1,90,980,270,0.3,870.7,0,41.2,0.06,20.9
2023/01/01 03:00:00.000,1.2,90,1208,0,0,870.1,0,41.5,0.05,20.9
2023/01/01 04:00:00.000,1,90,866,0,0,869.9,0,41.5,0.06,20.9
2023/01/01 05:00:00.000,1.1,90,968,0,0,869.7,0,41.3,0.06,20.9
2023/01/01 06:00:00.000,1.2,90,962,0,0,869.3,0,41.7,0.05,20.9
2023/01/01 07:00:00.000,1.1,90,1082,0,0,869.7,0,41.9,0.05,20.9
2023/01/01 08:00:00.000,1.2,90,1052,0,0,870.1,0,41.4,0.05,20.9
2023/01/01 09:00:00.000,1.1,90,1004,0,0,870.7,0,41.3,0.05,20.9
2023/01/01 10:00:00.000,1.4,90,1118,0,0,871.1,0,41.5,0.05,20.9
2023/01/01 11:00:00.000,1.8,90,1322,295,0.2,871.1,0,42,0.05,20.9
2023/01/01 12:00:00.000,2.5,90,1124,0,0,870.5,0,41.8,0.05,20.9
2023/01/01 13:00:00.000,2.8,90,1142,0,0,869.3,0,43.5,0.06,20.9
2023/01/01 14:00:00.000,3.3,90,1472,0,0,868.1,0,42.6,0.06,20.9
2023/01/01 15:00:00.000,3.1,90,1022,0,0,867.3,0,41.3,0.06,20.9
2023/01/01 16:00:00.000,3.1,90,1292,0,0,867.1,0,41.4,0.06,20.9
2023/01/01 17:00:00.000,3,90,1094,0,0,867.9,0,41.9,0.06,20.9
2023/01/01 18:00:00.000,2.8,90,1088,0,0,868.9,0,41.9,0.05,20.9
2023/01/01 19:00:00.000,2.5,90,1520,173,0.2,869.9,0,41.4,0.05,20.9
2023/01/01 20:00:00.000,2.2,90,1268,0,0,871.1,0,41.3,0.05,20.9
2023/01/01 21:00:00.000,2.1,90,1340,0,0,872.1,0,41.3,0.05,20.9
2023/01/01 22:00:00.000,1.9,90,1160,0,0,872.9,0,41.4,0.05,20.9
2023/01/01 23:00:00.000,1.9,90,1832,0,0,873.7,0.1,41.7,0.05,20.9
2023/01/02 00:00:00.000,1.8,90,1796,0,0,874.1,0.1,41.5,0.05,20.9
2023/01/02 01:00:00.000,1.7,90,1178,0,0,874.1,0,41.3,0.05,20.9
2023/01/02 02:00:00.000,1.6,90,2588,0,0,873.9,0,42.1,0.05,20.9
2023/01/02 03:00:00.000,1.6,90,2306,173,0.2,873.7,0,41.7,0.05,20.9
2023/01/02 04:00:00.000,1.6,90,1604,0,0,873.7,0,41.2,0.05,20.9
2023/01/02 05:00:00.000,1.5,90,2120,0,0,873.3,0,41.5,0.05,20.9
2023/01/02 06:00:00.000,1.5,90,1094,0,0,872.9,0,41.6,0.05,20.9
2023/01/02 07:00:00.000,1.4,90,1598,0,0,873.1,0,41.2,0.05,20.9
2023/01/02 08:00:00.000,1.5,90,1832,0,0,873.9,0,41.6,0.06,20.9
2023/01/02 09:00:00.000,1.6,90,1136,0,0,874.1,0,46.4,0.05,20.9
2023/01/02 10:00:00.000,1.8,90,1490,0,0,874.9,0,42.1,0.05,20.9
2023/01/02 11:00:00.000,2.1,90,1268,0,0,874.7,0,43.2,0.05,20.9
2023/01/02 12:00:00.000,2.3,90,1400,0,0,874.1,0,41.4,0.05,20.9
